referrer,views_total,views_unique
Google,7413,3349
github.com,966,327
DuckDuckGo,272,136
fluxcd.io,167,84
gitops.tech,78,53
charts.fluxcd.io,68,18
Bing,66,48
weave.works,55,23
StartPage,37,17
medium.com,28,23
