referrer,views_total,views_unique
Google,4576,2590
github.com,405,308
fluxcd.io,88,67
Bing,76,56
DuckDuckGo,75,55
medium.com,24,18
weave.works,21,15
charts.fluxcd.io,17,14
ecosia.org,14,9
cn.bing.com,12,11
