referrer,views_total,views_unique
Google,7039,3215
github.com,962,357
DuckDuckGo,251,136
fluxcd.io,132,63
Bing,82,51
gitops.tech,59,48
charts.fluxcd.io,42,14
medium.com,28,25
breakglass.io,25,1
weave.works,23,17
