referrer,views_total,views_unique
Google,4346,2566
github.com,495,333
fluxcd.io,83,62
DuckDuckGo,56,35
Bing,42,25
weave.works,24,21
medium.com,19,18
statics.teams.cdn.office.net,13,7
codefresh.io,12,6
charts.fluxcd.io,8,6
