time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-11-29 00:00:00+00:00,67086,134,957,380
2021-11-30 00:00:00+00:00,69881,132,872,417
2021-12-01 00:00:00+00:00,64900,143,969,424
2021-12-02 00:00:00+00:00,69266,152,1007,458
2021-12-03 00:00:00+00:00,64555,133,728,334
2021-12-04 00:00:00+00:00,59905,120,242,98
2021-12-05 00:00:00+00:00,58330,116,294,132
2021-12-06 00:00:00+00:00,61256,156,947,401
2021-12-07 00:00:00+00:00,59721,163,956,430
2021-12-08 00:00:00+00:00,60049,170,844,412
2021-12-09 00:00:00+00:00,59186,146,732,386
2021-12-10 00:00:00+00:00,59239,130,669,332
2021-12-11 00:00:00+00:00,58003,131,183,111
2021-12-12 00:00:00+00:00,52312,135,162,91
