time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-15 00:00:00+00:00,58919,115,796,392
2021-10-16 00:00:00+00:00,62267,106,427,133
2021-10-17 00:00:00+00:00,60545,100,190,135
2021-10-18 00:00:00+00:00,63737,131,902,448
2021-10-19 00:00:00+00:00,71467,145,992,437
2021-10-20 00:00:00+00:00,195412,150,2679,461
2021-10-21 00:00:00+00:00,286186,148,3017,465
2021-10-22 00:00:00+00:00,233662,128,2450,364
2021-10-23 00:00:00+00:00,195145,121,410,93
2021-10-24 00:00:00+00:00,155065,119,384,105
2021-10-25 00:00:00+00:00,151669,137,2004,376
2021-10-26 00:00:00+00:00,125121,131,1891,465
2021-10-27 00:00:00+00:00,87954,155,1645,465
2021-10-28 00:00:00+00:00,65493,142,1059,438
