referrer,views_total,views_unique
Google,1209,767
github.com,128,102
fluxcd.io,31,26
DuckDuckGo,27,16
Bing,20,15
ecosia.org,8,5
systeminsights.jira.com,7,1
cn.bing.com,5,5
weave.works,5,4
medium.com,4,4
