time_iso8601,forks_cumulative
2019-02-21 00:00:00+00:00,226
2019-02-23 00:00:00+00:00,227
2019-02-25 00:00:00+00:00,228
2019-02-27 00:00:00+00:00,231
2019-02-28 00:00:00+00:00,233
2019-03-01 00:00:00+00:00,235
2019-03-04 00:00:00+00:00,238
2019-03-05 00:00:00+00:00,239
2019-03-06 00:00:00+00:00,240
2019-03-07 00:00:00+00:00,241
2019-03-08 00:00:00+00:00,242
2019-03-11 00:00:00+00:00,243
2019-03-14 00:00:00+00:00,244
2019-03-15 00:00:00+00:00,251
2019-03-17 00:00:00+00:00,252
2019-03-19 00:00:00+00:00,253
2019-03-20 00:00:00+00:00,255
2019-03-21 00:00:00+00:00,256
2019-03-22 00:00:00+00:00,257
2019-03-26 00:00:00+00:00,258
2019-03-27 00:00:00+00:00,259
2019-03-28 00:00:00+00:00,260
2019-03-29 00:00:00+00:00,261
2019-03-31 00:00:00+00:00,262
2019-04-01 00:00:00+00:00,264
2019-04-02 00:00:00+00:00,267
2019-04-03 00:00:00+00:00,270
2019-04-04 00:00:00+00:00,271
2019-04-05 00:00:00+00:00,276
2019-04-08 00:00:00+00:00,277
2019-04-09 00:00:00+00:00,278
2019-04-10 00:00:00+00:00,280
2019-04-11 00:00:00+00:00,283
2019-04-12 00:00:00+00:00,288
2019-04-14 00:00:00+00:00,289
2019-04-15 00:00:00+00:00,290
2019-04-16 00:00:00+00:00,291
2019-04-17 00:00:00+00:00,295
2019-04-18 00:00:00+00:00,296
2019-04-20 00:00:00+00:00,297
2019-04-21 00:00:00+00:00,298
2019-04-23 00:00:00+00:00,301
2019-04-24 00:00:00+00:00,302
2019-04-25 00:00:00+00:00,304
2019-04-29 00:00:00+00:00,305
2019-04-30 00:00:00+00:00,307
2019-05-01 00:00:00+00:00,310
2019-05-02 00:00:00+00:00,311
2019-05-03 00:00:00+00:00,312
2019-05-05 00:00:00+00:00,313
2019-05-06 00:00:00+00:00,314
2019-05-07 00:00:00+00:00,315
2019-05-08 00:00:00+00:00,317
2019-05-09 00:00:00+00:00,318
2019-05-10 00:00:00+00:00,320
2019-05-13 00:00:00+00:00,321
2019-05-16 00:00:00+00:00,322
2019-05-17 00:00:00+00:00,324
2019-05-20 00:00:00+00:00,327
2019-05-21 00:00:00+00:00,328
2019-05-23 00:00:00+00:00,329
2019-05-24 00:00:00+00:00,332
2019-05-27 00:00:00+00:00,333
2019-05-28 00:00:00+00:00,335
2019-05-30 00:00:00+00:00,336
2019-05-31 00:00:00+00:00,341
2019-06-02 00:00:00+00:00,342
2019-06-03 00:00:00+00:00,346
2019-06-04 00:00:00+00:00,348
2019-06-05 00:00:00+00:00,350
2019-06-06 00:00:00+00:00,353
2019-06-07 00:00:00+00:00,354
2019-06-09 00:00:00+00:00,356
2019-06-10 00:00:00+00:00,358
2019-06-11 00:00:00+00:00,360
2019-06-12 00:00:00+00:00,361
2019-06-13 00:00:00+00:00,362
2019-06-14 00:00:00+00:00,363
2019-06-15 00:00:00+00:00,364
2019-06-17 00:00:00+00:00,365
2019-06-18 00:00:00+00:00,368
2019-06-20 00:00:00+00:00,369
2019-06-21 00:00:00+00:00,371
2019-06-22 00:00:00+00:00,372
2019-06-24 00:00:00+00:00,375
2019-06-25 00:00:00+00:00,377
2019-06-27 00:00:00+00:00,378
2019-06-28 00:00:00+00:00,379
2019-06-30 00:00:00+00:00,380
2019-07-01 00:00:00+00:00,381
2019-07-02 00:00:00+00:00,383
2019-07-03 00:00:00+00:00,384
2019-07-06 00:00:00+00:00,385
2019-07-07 00:00:00+00:00,386
2019-07-08 00:00:00+00:00,387
2019-07-09 00:00:00+00:00,392
2019-07-10 00:00:00+00:00,395
2019-07-11 00:00:00+00:00,397
2019-07-12 00:00:00+00:00,399
2019-07-16 00:00:00+00:00,400
2019-07-17 00:00:00+00:00,402
2019-07-18 00:00:00+00:00,403
2019-07-19 00:00:00+00:00,404
2019-07-21 00:00:00+00:00,405
2019-07-22 00:00:00+00:00,406
2019-07-23 00:00:00+00:00,408
2019-07-24 00:00:00+00:00,409
2019-07-25 00:00:00+00:00,411
2019-07-26 00:00:00+00:00,413
2019-07-29 00:00:00+00:00,414
2019-07-30 00:00:00+00:00,415
2019-08-01 00:00:00+00:00,417
2019-08-03 00:00:00+00:00,418
2019-08-05 00:00:00+00:00,419
2019-08-06 00:00:00+00:00,420
2019-08-07 00:00:00+00:00,423
2019-08-08 00:00:00+00:00,424
2019-08-09 00:00:00+00:00,425
2019-08-10 00:00:00+00:00,426
2019-08-12 00:00:00+00:00,427
2019-08-14 00:00:00+00:00,428
2019-08-15 00:00:00+00:00,433
2019-08-16 00:00:00+00:00,435
2019-08-17 00:00:00+00:00,436
2019-08-19 00:00:00+00:00,438
2019-08-21 00:00:00+00:00,441
2019-08-22 00:00:00+00:00,447
2019-08-23 00:00:00+00:00,448
2019-08-25 00:00:00+00:00,449
2019-08-26 00:00:00+00:00,450
2019-08-27 00:00:00+00:00,451
2019-08-28 00:00:00+00:00,454
2019-08-29 00:00:00+00:00,455
2019-08-30 00:00:00+00:00,456
2019-08-31 00:00:00+00:00,458
2019-09-02 00:00:00+00:00,459
2019-09-03 00:00:00+00:00,460
2019-09-05 00:00:00+00:00,463
2019-09-06 00:00:00+00:00,464
2019-09-09 00:00:00+00:00,465
2019-09-10 00:00:00+00:00,466
2019-09-11 00:00:00+00:00,468
2019-09-13 00:00:00+00:00,469
2019-09-14 00:00:00+00:00,470
2019-09-15 00:00:00+00:00,471
2019-09-16 00:00:00+00:00,473
2019-09-18 00:00:00+00:00,475
2019-09-19 00:00:00+00:00,477
2019-09-20 00:00:00+00:00,479
2019-09-26 00:00:00+00:00,482
2019-09-28 00:00:00+00:00,483
2019-09-30 00:00:00+00:00,484
2019-10-02 00:00:00+00:00,487
2019-10-03 00:00:00+00:00,489
2019-10-04 00:00:00+00:00,490
2019-10-06 00:00:00+00:00,492
2019-10-08 00:00:00+00:00,494
2019-10-09 00:00:00+00:00,495
2019-10-11 00:00:00+00:00,497
2019-10-15 00:00:00+00:00,498
2019-10-16 00:00:00+00:00,499
2019-10-17 00:00:00+00:00,500
2019-10-18 00:00:00+00:00,503
2019-10-20 00:00:00+00:00,504
2019-10-21 00:00:00+00:00,506
2019-10-22 00:00:00+00:00,508
2019-10-23 00:00:00+00:00,509
2019-10-29 00:00:00+00:00,512
2019-10-31 00:00:00+00:00,513
2019-11-01 00:00:00+00:00,514
2019-11-03 00:00:00+00:00,515
2019-11-04 00:00:00+00:00,519
2019-11-05 00:00:00+00:00,520
2019-11-06 00:00:00+00:00,522
2019-11-07 00:00:00+00:00,525
2019-11-11 00:00:00+00:00,526
2019-11-13 00:00:00+00:00,527
2019-11-14 00:00:00+00:00,529
2019-11-15 00:00:00+00:00,532
2019-11-18 00:00:00+00:00,533
2019-11-19 00:00:00+00:00,535
2019-11-20 00:00:00+00:00,537
2019-11-21 00:00:00+00:00,538
2019-11-22 00:00:00+00:00,543
2019-11-24 00:00:00+00:00,545
2019-11-26 00:00:00+00:00,548
2019-11-27 00:00:00+00:00,551
2019-11-28 00:00:00+00:00,552
2019-12-01 00:00:00+00:00,556
2019-12-02 00:00:00+00:00,561
2019-12-03 00:00:00+00:00,566
2019-12-04 00:00:00+00:00,568
2019-12-05 00:00:00+00:00,569
2019-12-06 00:00:00+00:00,570
2019-12-08 00:00:00+00:00,571
2019-12-09 00:00:00+00:00,575
2019-12-10 00:00:00+00:00,576
2019-12-11 00:00:00+00:00,577
2019-12-12 00:00:00+00:00,579
2019-12-14 00:00:00+00:00,580
2019-12-15 00:00:00+00:00,581
2019-12-16 00:00:00+00:00,586
2019-12-17 00:00:00+00:00,589
2019-12-19 00:00:00+00:00,591
2019-12-20 00:00:00+00:00,594
2019-12-23 00:00:00+00:00,596
2019-12-24 00:00:00+00:00,597
2019-12-25 00:00:00+00:00,598
2019-12-27 00:00:00+00:00,599
2019-12-28 00:00:00+00:00,601
2019-12-29 00:00:00+00:00,602
2019-12-30 00:00:00+00:00,603
2020-01-01 00:00:00+00:00,604
2020-01-03 00:00:00+00:00,607
2020-01-06 00:00:00+00:00,608
2020-01-08 00:00:00+00:00,609
2020-01-09 00:00:00+00:00,611
2020-01-10 00:00:00+00:00,612
2020-01-11 00:00:00+00:00,613
2020-01-15 00:00:00+00:00,614
2020-01-16 00:00:00+00:00,616
2020-01-17 00:00:00+00:00,617
2020-01-18 00:00:00+00:00,618
2020-01-20 00:00:00+00:00,620
2020-01-21 00:00:00+00:00,624
2020-01-22 00:00:00+00:00,627
2020-01-23 00:00:00+00:00,629
2020-01-24 00:00:00+00:00,630
2020-01-27 00:00:00+00:00,631
2020-01-28 00:00:00+00:00,635
2020-01-30 00:00:00+00:00,638
2020-01-31 00:00:00+00:00,639
2020-02-02 00:00:00+00:00,640
2020-02-03 00:00:00+00:00,641
2020-02-04 00:00:00+00:00,643
2020-02-06 00:00:00+00:00,647
2020-02-07 00:00:00+00:00,648
2020-02-09 00:00:00+00:00,649
2020-02-10 00:00:00+00:00,650
2020-02-11 00:00:00+00:00,651
2020-02-13 00:00:00+00:00,655
2020-02-14 00:00:00+00:00,656
2020-02-17 00:00:00+00:00,657
2020-02-19 00:00:00+00:00,659
2020-02-20 00:00:00+00:00,663
2020-02-21 00:00:00+00:00,664
2020-02-22 00:00:00+00:00,666
2020-02-24 00:00:00+00:00,667
2020-02-25 00:00:00+00:00,668
2020-02-26 00:00:00+00:00,669
2020-02-27 00:00:00+00:00,671
2020-03-02 00:00:00+00:00,673
2020-03-04 00:00:00+00:00,675
2020-03-05 00:00:00+00:00,676
2020-03-07 00:00:00+00:00,679
2020-03-10 00:00:00+00:00,680
2020-03-11 00:00:00+00:00,681
2020-03-12 00:00:00+00:00,682
2020-03-14 00:00:00+00:00,683
2020-03-15 00:00:00+00:00,685
2020-03-16 00:00:00+00:00,686
2020-03-17 00:00:00+00:00,687
2020-03-18 00:00:00+00:00,688
2020-03-20 00:00:00+00:00,689
2020-03-23 00:00:00+00:00,690
2020-03-24 00:00:00+00:00,693
2020-03-25 00:00:00+00:00,694
2020-03-26 00:00:00+00:00,697
2020-03-28 00:00:00+00:00,698
2020-03-30 00:00:00+00:00,699
2020-03-31 00:00:00+00:00,700
2020-04-01 00:00:00+00:00,701
2020-04-03 00:00:00+00:00,702
2020-04-05 00:00:00+00:00,703
2020-04-07 00:00:00+00:00,707
2020-04-08 00:00:00+00:00,709
2020-04-11 00:00:00+00:00,710
2020-04-12 00:00:00+00:00,712
2020-04-14 00:00:00+00:00,714
2020-04-16 00:00:00+00:00,716
2020-04-21 00:00:00+00:00,717
2020-04-22 00:00:00+00:00,719
2020-04-23 00:00:00+00:00,721
2020-04-24 00:00:00+00:00,722
2020-04-25 00:00:00+00:00,724
2020-04-26 00:00:00+00:00,725
2020-04-27 00:00:00+00:00,730
2020-04-28 00:00:00+00:00,731
2020-04-29 00:00:00+00:00,734
2020-04-30 00:00:00+00:00,735
2020-05-03 00:00:00+00:00,737
2020-05-05 00:00:00+00:00,738
2020-05-06 00:00:00+00:00,740
2020-05-07 00:00:00+00:00,742
2020-05-08 00:00:00+00:00,744
2020-05-11 00:00:00+00:00,748
2020-05-12 00:00:00+00:00,749
2020-05-13 00:00:00+00:00,751
2020-05-14 00:00:00+00:00,755
2020-05-15 00:00:00+00:00,759
2020-05-16 00:00:00+00:00,762
2020-05-17 00:00:00+00:00,767
2020-05-18 00:00:00+00:00,768
2020-05-19 00:00:00+00:00,769
2020-05-20 00:00:00+00:00,771
2020-05-21 00:00:00+00:00,773
2020-05-22 00:00:00+00:00,776
2020-05-23 00:00:00+00:00,777
2020-05-25 00:00:00+00:00,780
2020-05-26 00:00:00+00:00,781
2020-05-28 00:00:00+00:00,782
2020-05-29 00:00:00+00:00,785
2020-05-30 00:00:00+00:00,787
2020-05-31 00:00:00+00:00,788
2020-06-01 00:00:00+00:00,789
2020-06-02 00:00:00+00:00,790
2020-06-03 00:00:00+00:00,792
2020-06-04 00:00:00+00:00,794
2020-06-05 00:00:00+00:00,795
2020-06-06 00:00:00+00:00,796
2020-06-08 00:00:00+00:00,798
2020-06-09 00:00:00+00:00,801
2020-06-10 00:00:00+00:00,803
