referrer,views_total,views_unique
Google,1433,447
github.com,422,163
docs.flagger.app,252,46
weave.works,30,9
Bing,28,17
DuckDuckGo,22,11
staticsint.teams.cdn.office.net,18,4
Baidu,14,10
linkerd.io,9,5
developer.aliyun.com,9,1
