referrer,views_total,views_unique
Google,1593,446
github.com,527,144
Baidu,36,7
cncf.io,24,10
DuckDuckGo,23,14
cn.bing.com,23,2
weave.works,21,17
confluence.ogury.io,14,1
Bing,13,8
docs.microsoft.com,12,9
