referrer,views_total,views_unique
Google,893,490
github.com,472,292
t.co,80,65
cncf.io,31,22
Bing,16,12
DuckDuckGo,15,13
weave.works,10,9
golangrepo.com,10,1
medium.com,9,8
Baidu,9,7
