referrer,views_total,views_unique
Google,1194,387
github.com,467,189
DuckDuckGo,61,14
Bing,30,14
weave.works,17,9
StartPage,15,2
docs.microsoft.com,14,10
Baidu,12,12
searchcode.com,11,1
cncf.io,10,4
