referrer,views_total,views_unique
Google,1162,415
github.com,536,174
DuckDuckGo,40,11
StartPage,20,2
weave.works,17,9
Baidu,15,12
Bing,14,7
staticsint.teams.cdn.office.net,14,2
docs.microsoft.com,13,8
cncf.io,11,5
