referrer,views_total,views_unique
Google,831,500
github.com,308,163
linkedin.com,24,19
medium.com,12,12
DuckDuckGo,12,10
weave.works,11,9
Bing,11,6
docs.microsoft.com,10,10
linkerd.io,9,7
cncf.io,8,6
