referrer,views_total,views_unique
Google,1344,301
github.com,515,137
hub.kubeapps.com,22,1
DuckDuckGo,11,7
fluxcd.io,10,2
Baidu,9,6
weave.works,8,6
collabnix.github.io,8,5
docs.microsoft.com,6,6
cncf.io,6,5
