referrer,views_total,views_unique
Google,1647,387
github.com,551,157
hub.kubeapps.com,22,1
DuckDuckGo,21,13
weave.works,14,9
zozo.rickcloud.jp,12,1
statics.teams.cdn.office.net,10,2
medium.com,8,5
cncf.io,7,7
Baidu,7,5
