referrer,views_total,views_unique
Google,855,438
github.com,264,176
kubecon-cloudnativecon-na.com,18,15
DuckDuckGo,12,8
cncf.io,10,7
weave.works,8,6
medium.com,7,6
Bing,6,5
Baidu,6,5
docs.microsoft.com,5,5
