time_iso8601,forks_cumulative
2021-09-21 00:00:00+00:00,231
2021-09-23 00:00:00+00:00,232
2021-09-25 00:00:00+00:00,233
2021-09-29 00:00:00+00:00,235
2021-09-30 00:00:00+00:00,236
2021-10-06 00:00:00+00:00,237
2021-10-08 00:00:00+00:00,239
2021-10-10 00:00:00+00:00,241
2021-10-13 00:00:00+00:00,242
2021-10-15 00:00:00+00:00,243
2021-10-19 00:00:00+00:00,244
2021-10-24 00:00:00+00:00,245
2021-10-28 00:00:00+00:00,246
2021-10-29 00:00:00+00:00,247
2021-11-01 00:00:00+00:00,249
2021-11-03 00:00:00+00:00,250
2021-11-08 00:00:00+00:00,253
2021-11-09 00:00:00+00:00,254
2021-11-14 00:00:00+00:00,255
2021-11-15 00:00:00+00:00,256
2021-11-24 00:00:00+00:00,257
2021-11-25 00:00:00+00:00,258
2021-12-01 00:00:00+00:00,259
2021-12-04 00:00:00+00:00,260
2021-12-05 00:00:00+00:00,261
