time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-09 00:00:00+00:00,31379,282,1300,297
2021-07-10 00:00:00+00:00,29678,267,378,117
2021-07-11 00:00:00+00:00,29781,258,506,107
2021-07-12 00:00:00+00:00,30460,298,1222,279
2021-07-13 00:00:00+00:00,30497,306,1079,313
2021-07-14 00:00:00+00:00,30428,295,1157,259
2021-07-15 00:00:00+00:00,30405,308,1383,340
2021-07-16 00:00:00+00:00,30419,320,1194,288
2021-07-17 00:00:00+00:00,29737,287,579,116
2021-07-18 00:00:00+00:00,29392,264,333,91
2021-07-19 00:00:00+00:00,30754,306,1133,289
2021-07-20 00:00:00+00:00,31425,262,1176,296
2021-07-21 00:00:00+00:00,32242,254,1003,291
2021-07-22 00:00:00+00:00,28158,279,1179,323
