referrer,views_total,views_unique
Google,7042,2490
github.com,4951,1165
fluxcd.io,4817,1098
DuckDuckGo,337,157
Bing,166,60
giters.com,65,29
youtube.com,34,7
com.google.android.gm,28,12
ecosia.org,27,9
StartPage,27,8
