time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-06 00:00:00+00:00,43459,446,1506,365
2022-01-07 00:00:00+00:00,44229,436,1342,345
2022-01-08 00:00:00+00:00,43463,395,394,143
2022-01-09 00:00:00+00:00,39420,379,325,109
2022-01-10 00:00:00+00:00,44057,437,1804,430
2022-01-11 00:00:00+00:00,41204,438,2831,985
2022-01-12 00:00:00+00:00,42829,470,2340,651
2022-01-13 00:00:00+00:00,40751,437,1805,501
2022-01-14 00:00:00+00:00,39660,428,1412,445
2022-01-15 00:00:00+00:00,38145,379,372,147
2022-01-16 00:00:00+00:00,38206,387,262,108
2022-01-17 00:00:00+00:00,39673,437,1446,398
2022-01-18 00:00:00+00:00,39258,466,1798,460
2022-01-19 00:00:00+00:00,37230,453,1690,458
