referrer,views_total,views_unique
Google,1967,1007
fluxcd.io,1124,694
github.com,1100,586
DuckDuckGo,46,33
Bing,27,20
cncf.io,24,19
weave.works,21,8
com.google.android.gm,21,2
jira.dkb.ag,12,4
galaxy.ansible.com,9,2
