referrer,views_total,views_unique
Google,1872,993
github.com,1110,565
fluxcd.io,1011,629
DuckDuckGo,60,45
weave.works,42,20
Bing,37,26
galaxy.ansible.com,20,2
com.google.android.gm,20,2
cncf.io,17,13
jira.dkb.ag,15,8
