referrer,views_total,views_unique
Google,4180,1455
fluxcd.io,3135,695
github.com,2787,693
DuckDuckGo,144,59
githubmemory.com,40,12
Bing,34,29
mail.google.com,30,4
confluence.ship.gov.sg,22,1
giters.com,20,7
confluence.goldapple.ru,19,1
