referrer,views_total,views_unique
Google,1876,1039
github.com,1240,595
fluxcd.io,933,574
Bing,54,29
DuckDuckGo,52,32
com.google.android.gm,17,10
cncf.io,9,7
gard.telekom.de,9,4
golangrepo.com,7,6
aws.amazon.com,6,5
