referrer,views_total,views_unique
Google,4016,1592
github.com,2986,728
fluxcd.io,2772,666
DuckDuckGo,94,48
Bing,72,33
giters.com,45,13
contribute.cncf.io,23,6
wpb-confluence.systems.uk.hsbc,18,1
ecosia.org,17,2
weave.works,15,3
