referrer,views_total,views_unique
Google,5908,2225
github.com,4232,1216
fluxcd.io,3900,960
DuckDuckGo,495,191
Bing,89,45
cncf.io,44,8
com.google.android.gm,37,4
ecosia.org,28,9
Baidu,23,10
cn.bing.com,22,4
